"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_TURNO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_GENERO";"DS_GENERO";"CD_ESTADO_CIVIL";"DS_ESTADO_CIVIL";"CD_FAIXA_ETARIA";"DS_FAIXA_ETARIA";"CD_GRAU_ESCOLARIDADE";"DS_GRAU_ESCOLARIDADE";"TP_CONVOCACAO";"TP_COMPARECIMENTO";"QT_MESARIOS_PERFIL"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1066";"PORTO WALTER";"4";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"3";"CASADO";"4044";"40 a 44 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"7"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1090";"MÂNCIO LIMA";"4";"2";"MASCULINO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1040";"MARECHAL THAUMATURGO";"4";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1074";"CRUZEIRO DO SUL";"4";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1090";"MÂNCIO LIMA";"4";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1490";"XAPURI";"2";"2";"MASCULINO";"3";"CASADO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1074";"CRUZEIRO DO SUL";"4";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"14"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1074";"CRUZEIRO DO SUL";"4";"2";"MASCULINO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1139";"FEIJÓ";"7";"2";"MASCULINO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"7"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1538";"SENADOR GUIOMARD";"8";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"13"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1538";"SENADOR GUIOMARD";"8";"4";"FEMININO";"3";"CASADO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"2";"MASCULINO";"3";"CASADO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"10"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"2";"MASCULINO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"8"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1058";"BRASILÉIA";"6";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1490";"XAPURI";"2";"2";"MASCULINO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1538";"SENADOR GUIOMARD";"8";"2";"MASCULINO";"3";"CASADO";"4044";"40 a 44 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1490";"XAPURI";"2";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"10"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1554";"MANOEL URBANO";"3";"2";"MASCULINO";"3";"CASADO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1120";"ACRELÂNDIA";"8";"2";"MASCULINO";"9";"DIVORCIADO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1082";"RODRIGUES ALVES";"4";"2";"MASCULINO";"1";"SOLTEIRO";"1800";"18 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1090";"MÂNCIO LIMA";"4";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1112";"EPITACIOLÂNDIA";"6";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1457";"SENA MADUREIRA";"3";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1538";"SENADOR GUIOMARD";"8";"2";"MASCULINO";"3";"CASADO";"5559";"55 a 59 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"3";"CASADO";"4549";"45 a 49 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1058";"BRASILÉIA";"6";"2";"MASCULINO";"1";"SOLTEIRO";"2000";"20 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1066";"PORTO WALTER";"4";"2";"MASCULINO";"1";"SOLTEIRO";"1900";"19 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"9";"DIVORCIADO";"5054";"50 a 54 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"9";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"12"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1457";"SENA MADUREIRA";"3";"4";"FEMININO";"3";"CASADO";"4549";"45 a 49 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1112";"EPITACIOLÂNDIA";"6";"4";"FEMININO";"3";"CASADO";"2124";"21 a 24 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1082";"RODRIGUES ALVES";"4";"4";"FEMININO";"1";"SOLTEIRO";"1900";"19 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1570";"ASSIS BRASIL";"6";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1074";"CRUZEIRO DO SUL";"4";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"2";"MASCULINO";"3";"CASADO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"6"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"2";"MASCULINO";"3";"CASADO";"4549";"45 a 49 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1139";"FEIJÓ";"7";"2";"MASCULINO";"1";"SOLTEIRO";"2000";"20 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1074";"CRUZEIRO DO SUL";"4";"2";"MASCULINO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1007";"BUJARI";"9";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"4";"ENSINO FUNDAMENTAL COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1090";"MÂNCIO LIMA";"4";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"7"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1090";"MÂNCIO LIMA";"4";"4";"FEMININO";"3";"CASADO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1074";"CRUZEIRO DO SUL";"4";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1112";"EPITACIOLÂNDIA";"6";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1511";"PLÁCIDO DE CASTRO";"8";"4";"FEMININO";"3";"CASADO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"6"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"2";"MASCULINO";"3";"CASADO";"6064";"60 a 64 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1082";"RODRIGUES ALVES";"4";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1570";"ASSIS BRASIL";"6";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1490";"XAPURI";"2";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1490";"XAPURI";"2";"2";"MASCULINO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"7"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"9";"2";"MASCULINO";"7";"SEPARADO JUDICIALMENTE";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"1";"SOLTEIRO";"1800";"18 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1066";"PORTO WALTER";"4";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1090";"MÂNCIO LIMA";"4";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1112";"EPITACIOLÂNDIA";"6";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1538";"SENADOR GUIOMARD";"8";"4";"FEMININO";"3";"CASADO";"5559";"55 a 59 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1554";"MANOEL URBANO";"3";"2";"MASCULINO";"3";"CASADO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1074";"CRUZEIRO DO SUL";"4";"4";"FEMININO";"3";"CASADO";"3034";"30 a 34 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1112";"EPITACIOLÂNDIA";"6";"4";"FEMININO";"1";"SOLTEIRO";"5054";"50 a 54 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1554";"MANOEL URBANO";"3";"2";"MASCULINO";"3";"CASADO";"5054";"50 a 54 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1007";"BUJARI";"9";"4";"FEMININO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1074";"CRUZEIRO DO SUL";"4";"4";"FEMININO";"7";"SEPARADO JUDICIALMENTE";"3034";"30 a 34 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"9";"2";"MASCULINO";"3";"CASADO";"3034";"30 a 34 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1082";"RODRIGUES ALVES";"4";"4";"FEMININO";"1";"SOLTEIRO";"5559";"55 a 59 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1473";"TARAUACÁ";"5";"4";"FEMININO";"3";"CASADO";"4549";"45 a 49 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1074";"CRUZEIRO DO SUL";"4";"4";"FEMININO";"3";"CASADO";"4044";"40 a 44 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"9";"DIVORCIADO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"9";"4";"FEMININO";"3";"CASADO";"4044";"40 a 44 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"4"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1074";"CRUZEIRO DO SUL";"4";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"2";"LÊ E ESCREVE";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1473";"TARAUACÁ";"5";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"7"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1511";"PLÁCIDO DE CASTRO";"8";"4";"FEMININO";"9";"DIVORCIADO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"2";"MASCULINO";"1";"SOLTEIRO";"1900";"19 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"5"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1015";"CAPIXABA";"2";"2";"MASCULINO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1112";"EPITACIOLÂNDIA";"6";"4";"FEMININO";"1";"SOLTEIRO";"1900";"19 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1074";"CRUZEIRO DO SUL";"4";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"9";"2";"MASCULINO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1457";"SENA MADUREIRA";"3";"4";"FEMININO";"1";"SOLTEIRO";"1800";"18 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1473";"TARAUACÁ";"5";"2";"MASCULINO";"3";"CASADO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1139";"FEIJÓ";"7";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1392";"RIO BRANCO";"1";"2";"MASCULINO";"3";"CASADO";"5054";"50 a 54 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1082";"RODRIGUES ALVES";"4";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1570";"ASSIS BRASIL";"6";"2";"MASCULINO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1040";"MARECHAL THAUMATURGO";"4";"2";"MASCULINO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1023";"PORTO ACRE";"1";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1473";"TARAUACÁ";"5";"2";"MASCULINO";"1";"SOLTEIRO";"2000";"20 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1139";"FEIJÓ";"7";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"2";"LÊ E ESCREVE";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1074";"CRUZEIRO DO SUL";"4";"2";"MASCULINO";"1";"SOLTEIRO";"5054";"50 a 54 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1538";"SENADOR GUIOMARD";"8";"4";"FEMININO";"3";"CASADO";"3539";"35 a 39 anos";"7";"SUPERIOR INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"1";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1139";"FEIJÓ";"7";"2";"MASCULINO";"3";"CASADO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1538";"SENADOR GUIOMARD";"8";"4";"FEMININO";"1";"SOLTEIRO";"1800";"18 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1058";"BRASILÉIA";"6";"4";"FEMININO";"3";"CASADO";"3034";"30 a 34 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1457";"SENA MADUREIRA";"3";"2";"MASCULINO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"9";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"5";"ENSINO MÉDIO INCOMPLETO";"Voluntárias e voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1104";"JORDÃO";"5";"2";"MASCULINO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1090";"MÂNCIO LIMA";"4";"2";"MASCULINO";"3";"CASADO";"3539";"35 a 39 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1473";"TARAUACÁ";"5";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1392";"RIO BRANCO";"9";"4";"FEMININO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"4";"ENSINO FUNDAMENTAL COMPLETO";"Voluntárias e voluntários";"Comparecimentos";"1"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1023";"PORTO ACRE";"1";"2";"MASCULINO";"3";"CASADO";"4549";"45 a 49 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"2"
"20/10/2024";"05:39:17";"2022";"2";"AC";"1120";"ACRELÂNDIA";"8";"2";"MASCULINO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
"20/10/2024";"05:39:17";"2022";"1";"AC";"1090";"MÂNCIO LIMA";"4";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"Comparecimentos";"3"
